2020-09-30 | 14:06:12.646 | [] |  INFO | ThreadPoolTaskExecutor         | (   218) | Shutting down ExecutorService 'applicationTaskExecutor'
2020-09-30 | 14:06:12.684 | [] |  INFO | StorageAppApplication          | (    55) | Starting StorageAppApplication on DESKTOP-UL9U8E0 with PID 9404 (D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app\target\classes started by Admin in D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app)
2020-09-30 | 14:06:12.685 | [] |  INFO | StorageAppApplication          | (   651) | No active profile set, falling back to default profiles: default
2020-09-30 | 14:06:12.771 | [] |  INFO | TomcatWebServer                | (   108) | Tomcat initialized with port(s): 8080 (http)
2020-09-30 | 14:06:12.772 | [] |  INFO | StandardService                | (   173) | Starting service [Tomcat]
2020-09-30 | 14:06:12.772 | [] |  INFO | StandardEngine                 | (   173) | Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-09-30 | 14:06:12.785 | [] |  INFO | [/api/v1]                      | (   173) | Initializing Spring embedded WebApplicationContext
2020-09-30 | 14:06:12.785 | [] |  INFO | ServletWebServerApplicationContext | (   285) | Root WebApplicationContext: initialization completed in 99 ms
2020-09-30 | 14:06:12.819 | [] |  INFO | ThreadPoolTaskExecutor         | (   181) | Initializing ExecutorService 'applicationTaskExecutor'
2020-09-30 | 14:06:12.838 | [] |  INFO | OptionalLiveReloadServer       | (    58) | LiveReload server is running on port 35729
2020-09-30 | 14:06:12.844 | [] |  INFO | TomcatWebServer                | (   220) | Tomcat started on port(s): 8080 (http) with context path '/api/v1'
2020-09-30 | 14:06:12.846 | [] |  INFO | StorageAppApplication          | (    61) | Started StorageAppApplication in 0.176 seconds (JVM running for 5053.293)
2020-09-30 | 14:06:12.847 | [] |  INFO | ConditionEvaluationDeltaLoggingListener | (    63) | Condition evaluation unchanged
2020-09-30 | 14:06:12.907 | [] |  INFO | TomcatWebServer                | (   108) | Tomcat initialized with port(s): 8080 (http)
2020-09-30 | 14:06:12.918 | [] |  INFO | StandardService                | (   173) | Starting service [Tomcat]
2020-09-30 | 14:06:12.918 | [] |  INFO | StandardEngine                 | (   173) | Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-09-30 | 14:06:12.972 | [] |  INFO | [/api/v1]                      | (   173) | Initializing Spring embedded WebApplicationContext
2020-09-30 | 14:06:12.972 | [] |  INFO | ServletWebServerApplicationContext | (   285) | Root WebApplicationContext: initialization completed in 578 ms
2020-09-30 | 14:06:13.057 | [] |  INFO | ThreadPoolTaskExecutor         | (   181) | Initializing ExecutorService 'applicationTaskExecutor'
2020-09-30 | 14:06:13.125 | [] |  WARN | OptionalLiveReloadServer       | (    61) | Unable to start LiveReload server
2020-09-30 | 14:06:13.140 | [] |  WARN | AnnotationConfigServletWebServerApplicationContext | (   559) | Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Failed to start bean 'webServerStartStop'; nested exception is org.springframework.boot.web.server.PortInUseException: Port 8080 is already in use
